yaml_filename,key_word,en,burm
,,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism.",ကမ္ဘာ့မြောက်ခြမ်းနှင့် တောင်ခြမ်း၊ ကမ္ဘာ့တောင်ခြမ်းအချင်းချင်းနှင့် ဖွံ့ဖြိုးရေးမိတ်ဖက်များ၊နိုင်ငံများနှင့် နိုင်ငံတကာ အဖွဲ့အစည်းများ၏ သုံးပွင့်ဆိုင်ပူးပေါင်းဆောင်ရွက်ခြင်းများကို မြှင့်တင်ရန်။ နှစ်ဦးနှစ်ဖက် သဘောတူညီချက်များအရ သိပ္ပံပညာ၊ နည်းပညာနှင့် တီထွင်ဆန်းသစ်ခြင်းများကို ရရှိအသုံးပြုနိုင်ပြီး ဗဟုသုတမျှဝေခြင်းများကို တိုးမြှင့်ရန်။ ထိုသို့ဆောင်ရွက်ရန်အတွက် ကမ္ဘာလုံးဆိုင်ရာနည်းပညာယန္တရားများကို လွယ်ကူချောမွေ့စေခြင်းဖြင့် လက်ရှိယန္တရားများအကြား အထူးသဖြင့် ကုလသမဂ္ဂအဆင့်တွင် ပူးပေါင်းဆောင်ရွက်ခြင်းများကို မြှင့်တင်ရန်။ 
,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arisingfrom the utilization of genetic resources and associated traditional knowledge, as internationally agreed",၂၀၂၀ တွင် မျိုးစေ့များ၊ စိုက်ပျိုးပြီးသော အပင်များနှင့် လယ်မြေသုံးတိရိစ္ဆာန်များ၊ အိမ်မွေးတိရိစ္ဆာန်များ နှင့် ၎င်းတို့နှင့်ဆက်စပ်သော မျိုးစိတ်များ၏ မျိုးရိုးဆိုင်ရာကွဲပြားမှုများကို ထိန်းသိမ်းရန်။ ထိုသို့ဆောင်ရွက်ရာတွင်  ဒေသန္တရဆိုင်ရာ၊ နိုင်ငံတော်နှင့် နိုင်ငံတကာအဆင့်များတွင် အမျိုးမျိုးသော မျိုးစေ့များနှင့် မျိုးပင်ဘဏ်များကို ကောင်းမွန်စွာစီမံရန်။ နိုင်ငံတကာသဘောတူညီချက်များအရ မျိုးရိုးဆိုင်ရာရင်းမြစ်များနှင့် သက်ဆိုင်ရာဗဟုသုတများကို အသုံးချပြီး ရရှိလာသောအကျိုးကျေးဇူးများကို အားလုံးအတူတကွ မျှဝေခံစားနိုင်ရန်။ 
,,"Support the research and development of vaccines and medicines for the communicable and non‐communicable diseases that primarily affect developing countries, / provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health,/ which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all.",ဖွံ့ဖြိုးဆဲနိုင်ငံများကို အဓိကထိခိုက်လျက်ရှိသော ကူးစက်နိုင်သောနှင့် မကူးစက်နိုင်သောရောဂါများအတွက် ကာကွယ်ဆေးနှင့် ဆေးဝါးများကို သုတေသနပြုလုပ်ရာတွင် အကူအညီပေးရန်။ လူသားအားလုံးဆေးဝါးများကို ရရှိအသုံးပြုနိုင်ပြီး ပြည်သူ့ကျန်းမာရေးကို ကာကွယ်နိုင်ရန်အတွက် ဖွံ့ဖြိုးဆဲနိုင်ငံများအနေဖြင့် ကုန်သွယ်ရေးဆိုင်ရာ ဉာဏမူပိုင်ခွင့်နှင့်ပတ်သက်သည့် ပြဌာန်းချက်များပါ အခွင့်အရေးများကို အပြည့်အဝအသုံးချနိုင်စေရန် TRIPS သဘောတူညီမှုနှင့် ပြည်သူ့ကျန်းမာရေးပေါ် အခြေခံထားသော Doha ကြေငြာချက်နှင့်အညီ တန်ဖိုးမျှတသော အရေးကြီး ဆေးဝါးနှင့် ကာကွယ်ဆေးများကို ရရှိစေရန်။ 
,,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and Entrepreneurship",၂၀၃၀ တွင် သင့်တင့်လျောက်ပတ်သော အလုပ်အကိုင်များရရှိပြီးနှင့် စွန့်ဦးတီထွင်လုပ်ငန်းများကိုဆောင်ရွက်နိုင်ရန်အတွက် သက်ဆိုင်ရာကျွမ်းကျင်မှုများ၊ ပညာရပ်ပိုင်းဆိုင်ရာနှင့် အသက်မွေးမှုဆိုင်ရာ ကျွမ်းကျင်မှုများ တတ်မြောက်ထားသော လူငယ်နှင့် အရွယ်ရောက်ပြီးသူအရေအတွက် များစွာတိုးပွားလာနိုင်စေရန်။ 
,,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations ",၂၀၃၀ တွင် ပညာရေး၌ ကျား/မ ခွဲခြားကွာဟမှုကို ပပျောက်စေရန်။ ထိခိုက်လွယ်သူများ၊ မသန်စွမ်းသူများ၊ဌာနေတိုင်းရင်းသားလူမျိုးစုများနှင့် ထိခိုက်လွယ်သော အခြေအနေတွင်နေထိုင်ရသော ကလေးငယ်များအတွက် ပညာရေးပုံစံအားလုံးနှင့် အသက်မွေးဝမ်းကျောင်းပညာရပ်များကို တန်းတူညီမျှရရှိစေရန်။ 
,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development.",၂၀၃၀ တွင် ပညာသင်ကြားသူအားလုံးသည် စဉ်ဆက်မပြတ်ဖွံ့ဖြိုးတိုးတက်ရေးကို တိုးမြှင့်ရန်အတွက် လိုအပ်သည့်အသိပညာနှင့် ကျွမ်းကျင်မှုများကို ရှိနေစေရန်။ ထိုပညာများထဲတွင် သဟဇာတမျှတသော ဘဝနေထိုင်မှု၊ လူ့အခွင့်အရေး၊ ကျား/မ တန်းတူညီမျှရှိရေး၊ ငြိမ်းချမ်းရေးနှင့် အကြမ်းမဖက်ရေးအသိကို တိုးမြှင့်ရေး၊ ကမ္ဘာ့နိုင်ငံသားများဖြစ်လာရေး၊  ယဉ်ကျေးမှုကွဲပြားခြင်းများကို လေးစားတတ်စေရေး၊ နှင့် စဉ်ဆက်မပြတ်ဖွံ့ဖြိုးတိုးတက်ရေးဆောင်ရွက်ရာတွင် ယဉ်ကျေးမှုများ၏ အရေးပါမှုကို နားလည်စေရေး စသည်တို့ကို လေ့လာသိရှိနေစေရန်။ 
,,"By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology,  technical, engineering and scientific programmes, in developed countries and other developing countries",၂၀၂၀ တွင် ဖွံ့ဖြိုးဆဲနိုင်ငံများ၊ ဖွံ့ဖြိုးမှုနိမ့်ပါးသောနိုင်ငံများနှင့် ဖွံ့ဖြိုးဆဲကျွန်းငယ်နိုင်ငံများ၊ အာဖရိကန်နိုင်ငံများအတွက် ပညာသင်ဆုများများစွာ ပေးအပ်နိုင်ရန်။ အဆင့်မြင့် ပညာရေးဖြစ်သည့်သက်မွေးပညာရပ်များ၊ သတင်းအချက်အလက်၊ ဆက်သွယ်ရေးနည်းပညာများ၊ နည်းပညာဆိုင်ရာပညာရပ်များ၊ အင်ဂျင်နီယာပညာရပ်များနှင့် သိပ္ပံနည်းပညာအစီအစဉ်များအား ဖွံ့ဖြိုးပြီးနှင့် ဖွံ့ဖြိုးဆဲနိုင်ငံရှိ ကျောင်းသားကျောင်းသူများတက်ရောက်နိုင်ရေးအတွက် အကောင်အထည်ဖော်ဆောင်ရွက်ရန်။ 
,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences ,Programme of Action of the International Conference on Population and Development၊ Beijing Platform for Action တို့နှင့် ၎င်းအစည်းအဝေးပွဲများမှ ရလာဒ်များနှင့်အညီ အားလုံးသဘောတူညီထားသော လိင်ပိုင်းဆိုင်ရာ အသိပညာနှင့် မျိုးဆက်ပြန့်ပွားကျန်းမာရေးနှင့် အခွင့်အရေးများကို အားလုံးရရှိစေရန်။ 
,,"By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and Those in vulnerable situations",၂၀၃၀ တွင် လူသားအားလုံးအတွက် အထူးသဖြင့် အမျိုးသမီးများ၊ မိန်းကလေးငယ်များနှင့် ထိခိုက်လွယ်သောအခြေအနေတွင် နေထိုင်သူများ၏ လိုအပ်ချက်ကို ရှေးရှု၍ လုံလောက်ပြီးတန်းတူညီမျှဖြစ်သော မိလ္လာစနစ်နှင့် တစ်ကိုယ်ရေသန့်ရှင်းရေးလုပ်ငန်းများကို အားပေးဆောင်ရွက်ရန်နှင့် မြေပြင်တွင် စည်းကမ်းမဲ့ မစင်စွန့်ခြင်းကို ရပ်တန့်တားဆီးရန်။ 
,,"Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, in particular developing countries, including, by 2030, Encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending",၂၀၃၀ တွင် နိုင်ငံအားလုံး၌ အထူးသဖြင့် ဖွံ့ဖြိုးဆဲနိုင်ငံများ၏ သိပ္ပံနည်းကျသုတေသနဆောင်ရွက်ခြင်းများနှင့် လုပ်ငန်းကဏ္ဍများတွင် နည်းပညာစွမ်းဆောင်ရည်ကို မြှင့်တင်ရန်။ လူတစ်သန်းလျှင် သုတေသနနှင့် ဖွံ့ဖြိုးတိုးတက်ရေးဆိုင်ရာ လုပ်ငန်းလုပ်သားဦးရေကို သိသာစွာတိုးမြှင့်ရန်။ တီထွင်ဆန်းသစ်မှုများကို အားပေးရန်နှင့် အစိုးရနှင့် ပုဂ္ဂလိက သုတေသနနှင့် ဖွံဖြိုးတိုးတက်ရေးဆိုင်ရာလုပ်ငန်းများတွင် ငွေကြေးသုံးစွဲမှုများကို တိုးမြှင့်ရန်။ 
,,"Proportion of population living below the national poverty line, by sex and age’",နိုင်ငံ၏ ဆင်းရဲနွမ်းပါးမှုမျဉ်းအောက်ရောက်ရှိနေသော လူဦးရေ အချိုးအစားကို ကျား/မ နှင့် အသက်အရွယ် တို့ပေါ်မူတည်၍ ဖော်ပြခြင်း
,,"Number of countries that have communicated the establishment or operationalization of an integrated policy/strategy/plan/ which increases their ability to adapt to the adverse impacts of climate change, and/ foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production/ (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)",ရာသီဥတုပြောင်းလဲမှု၏ ဆိုးကျိုးများ အသားကျခံနိုင်ရည်ရှိရန်နှင့် အစားအစာထုတ်လုပ်ခြင်းကို မထိခိုက်စေဘဲ ရာသီဥတုဒဏ်ကိုခံနိုင်ပြီး ဖန်လုံအိမ်ဓာတ်ငွေ့များထုတ်လွှင့်ခြင်းကို လျော့ကျစေမှုများပါဝင်သည့် (မူဝါဒ၊ နည်းဗျူဟာ၊ အစီအစဉ်) များကို ရေးဆွဲအကောင်အထည်ဖော်သည့် နိုင်ငံအရေအတွက်(အမျိုးသားအဆင့်/နိုင်ငံလုံးဆိုင်ရာ နေသားကျရန်လုပ်ဆောင်ခြင်းအစီအစဉ်၊ တစ်နိုင်ငံလုံး သဘောတူသတ်မှတ်ထားသော ပူးပေါင်းပါဝင်ခြင်း၊ အမျိုးသားအဆင့်/ နိုင်ငံတော်အဆင့် ပြန်ကြားဆက်သွယ်ရေး၊ နှစ်နှစ်တစ်ခါ တင်ပြသော အစီရင်ခံ နှင့် အခြားအစီအစဉ်များ)
,,"Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula ",မကောင်းသည့်အကျိုးဆက်များအား လျှော့ချခြင်း၊ အသားကျခံနိုင်ရည်ရှိခြင်း၊ ၎င်း၏သက်ရောက်မှုကိုလျော့နည်းစေခြင်းနှင့် ကြိုတင်သတိပေးခြင်းလုပ်ငန်းစဉ်များကို မူလတန်း၊ အလယ်တန်းနှင့် အထက်တန်းသင်ရိုးများတွင် ထည့်သွင်းသင်ကြားသော နိုင်ငံအရေအတွက်
,,Index of coastal eutrophication and floating plastic debris density ,ကမ်းရိုးတန်းတွင် ရေညှိဖြစ်ပေါ်ခြင်းနှင့် မျောပါလာသော ပလတ်စတစ်အမှိုက်များ၏ သိပ်သည်းမှုတို့ကို ပြသောညွှန်းကိန်း။
,,Progress by countries in the degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale Fisheries,ငါးဖမ်းလုပ်ငန်းငယ်များ၏ အခွင့်အရေးကို အသိအမှတ်ပြုပြီး ကာကွယ်သော ဥပဒေ၊ လုပ်ထုံးလုပ်နည်း၊ မူဝါဒ၊ အဖွဲ့အစည်းဆိုင်ရာမူဘောင်ကို အသုံးချမှုတွင် နိုင်ငံအသီးသီး၏ တိုးတက်မှုပမာဏ။
,,Proportion of traded wildlife that was poached or illicitly trafficked‌,တရားမဝင် ဖမ်းဆီးသတ်ဖြတ်ခြင်း (သို့မဟုတ်) တရားမဝင် ကုန်ကူးရောင်းချခြင်းခံရသော တောရိုင်းတိရိစ္ဆာန်များ အချိုးအစား
,,found in ---,--- တွင်တွေ့ရှိနိုင်ပါသည်။
,,Search results for ---,--- အတွက်ရလဒ်များရှာဖွေပါ
