,burm,en
186,ဥပဒေကြောင်းအရခိုင်လုံသော စာရွက်စာတမ်းအထောက်အထားနှင့် လုံခြုံစိတ်ချရသော မြေယာခံစားခွင့်ရှိသော၊ မြေယာများကို ရပိုင်ခွင့်အား နားလည်သည့် အရွယ်ရောက်ပြီးသားသူအားလုံးကို ကျား/မ နှင့် ခံစားခွင့်အမျိုးအစားအလိုက် ခွဲခြားသတ်မှတ်ထားသော လူဦးရေအချိုးအစား,"Proportion of total adult population with secure tenure rights to land, with legally recognized documentation, and who perceive their rights to land as secure, by sex and by type of tenure"
187,"သဘာဝဘေးအန္တရာယ်ဒဏ်များကြောင့် လူဦးရေ တစ်သိန်းလျှင် သေဆုံးသူ, ပျောက်ဆုံးသူနှင့် တိုက်ရိုက်ဘေးဒဏ်ခံရသူများဦးရေ","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
188,သဘာဝဘေးအန္တရာယ်ဒဏ်များကြောင့် စီးပွားရေးဆိုင်ရာ တိုက်ရိုက်ဆုံးရှုံးမှုများကို ကမ္ဘာလုံးဆိုင်ရာ ပြည်တွင်း အသားတင် ကုန်ထုတ်လုပ်မှု (GDP) နှင့် နှိုင်းယှဉ်ကြည့်ခြင်း,Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)
189,၂၀၁၅-၂၀၃၀  သဘာဝဘေးအန္တရာယ်လျှော့ချရေး ဆန်ဒိုင်းမူဘောင်အရ အမျိုးသားသဘာဝဘေးအန္တရာယ်လျှော့ချရေးနည်းဗျူဟာများကို ရေးဆွဲအကောင်အထည်ဖော်နေသော နိုင်ငံအရေအတွက်,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030
190,အမျိုးသားသဘာဝဘေးအန္တရာယ်လျှော့ချရေးနည်းဗျူဟာများကို အခြေခံ၍ ဒေသဆိုင်ရာ သဘာဝဘေးအန္တရာယ်လျှော့ချရေးနည်းဗျူဟာများကို ရေးဆွဲအကောင်အထည်ဖော်နေသော ‌ဒေသအစိုးရများ၏ အချိုးအစား,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
191,အစိုးရအနေဖြင့် ဆင်းရဲနွမ်းပါးမှု လျှော့ချရေး အစီအစဉ်များအတွက် ပြည်တွင်းတွင် ထုတ်လုပ်သော အရင်းအမြစ်များကို တိုက်ရိုက် ခွဲဝေပေးသည့် အချိုးအစားပမာဏ,Proportion of domestically generated resources allocated by the government directly to poverty reduction programmes
192,မရှိမဖြစ်လိုအပ်သော ဝန်ဆောင်မှုများ (ပညာရေး၊ ကျန်းမာရေးနှင့် လူမှုဖူလုံရေး) အတွက် အစိုးရအနေဖြင့် အသုံးပြုသော စုစုပေါင်းကုန်ကျစရိတ် အချိုးအစားပမာဏ,"Proportion of total government spending on essential services (education, health and social protection)"
193,နိုင်ငံ့ ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ၏ အချိုးအစား တစ်ခု အနေဖြင့် ဆင်းရဲနွမ်းပါးမှုလျှော့ချရေးအစီအစဉ်များကို တိုက်ရိုက်ပေးအပ်သော ထောက်ပံ့ကြေးအားလုံးနှင့် အကြွေးမဖြစ်စေသော ထောက်ပံ့ငွေများ၏ စုစုပေါင်းပမာဏ,Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP
194,အမျိုးသမီးများ၊ ဆင်းရဲနွမ်းပါးသူများနှင့် အားနည်းသူများအတွက် ဖိဖိစီးစီး အကျိုးပြုနေသော ကဏ္ဍများအတွက် အစိုးရ၏ ပုံမှန်အသုံးစရိတ်နှင့် ရင်းနှီးငွေ စုစုပေါင်း၏ အချိုးအစား,"Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups"
195,တိုးတက်လာသော အိမ်အသုံးစရိတ်များ (သို့မဟုတ်) လူဦးရေ၏ အောက်ခြေ (၄၀)ရာခိုင်နှုန်းတွင်ရှိသော လူတစ်ဦးချင်းစီ၏ ဝင်ငွေနှင့် လူဦးရေအားလုံး၏ တစ်ဦးချင်းဝင်ငွေ,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
196,ပျမ်းမျှဝင်ငွေအောက် ၅၀ ရာခိုင်နှုန်းတွင် နေထိုင်သော လူဦးရေအချိုးအစားကို  ကျား/မ ၊ အသက် နှင့် မသန်စွမ်းသောသူများ စသည်တို့ပေါ်မူတည်၍ ဖော်ပြခြင်း,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
197,နိုင်ငံတကာလူ့အခွင့်အရေးဥပဒေအောက်တွင် သတ်မှတ်ထားသည့် လူတန်းစားခွဲခြားခြင်းဟူသော အဓိပ္ပါဖွင့်ဆိုချက်အတိုင်း လွန်ခဲ့သည့် ၁၂လအတွင်း လူတန်းစားခွဲခြားခံရခြင်း၊ အရှက်တကွဲဖြစ်စေရန် နှောက်ယှက်စော်ကားခံရခြင်းများအား တိုင်ကြားသော လူဦးရေ၏ အချိုးအစား,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
198,လစာများနှင့် လူမှုဖူလုံရေး ငွေလွှဲခြင်းများပါဝင်သော ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) အတွက် လုပ်သားများထည့်ဝင်သောဝေစု,"Labour share of GDP, comprising wages and social protection transfers"
199,ငွေကြေးအခြေအနေကောင်းမွန်ခြင်းပြ အညွှန်းများ,Financial Soundness Indicators (FSIs)
200,နိုင်ငံတကာအဖွဲ့အစည်းများတွင် အဖွဲ့ဝင်ဖြစ်သော နှင့် မဲထည့်နိုင်ခွင့်ရှိသော ဖွံ့ဖြိုးဆဲနိုင်ငံများ,Proportion of members and voting rights of developing countries in international organizations
201,ဦးတည်သွားရောက်သည့်နိုင်ငံတွင် ရရှိသော တစ်နှစ်စာဝင်ငွေထဲမှ ဝန်ထမ်းအနေဖြင့်ကျခံရသော အလုပ်ရှာဖွေခြင်း ကုန်ကျစရိတ် အချိုးအစား,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination
202,ရွှေ့ပြောင်းနေထိုင်ခြင်းဆိုင်ရာ မူဝါဒမျာကို ကောင်းမွန်စွာ စီမံခန့်ခွဲ အကောင်အထည်ဖော်နိုင်ခဲ့သော နိုင်ငံ အရေအတွက်,Number of countries that have implemented well-managed migration policies
203,ဖွံ့ဖြိုးမှု နိမ့်ပါးသည့် နိုင်ငံများနှင့် သွင်းကုန်စည်းကြပ်အခွန် သုညရှိသော နိုင်ငံများမှ သွင်းကုန်များအပေါ် ထားရှိထားသော သွင်းကုန်စည်းကြပ်အခွန်မျဉ်းများ၏ အချိုးအစား,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff
204,ဖွံ့ဖြိုးတိုးတက်မှုအတွက် စီးဆင်းနေသော အရင်းအမြစ်စုစုပေါင်းကို အလှူလက်ခံသောနိုင်ငံ၊ လှူဒါန်းသောနိုင်ငံနှင့် စီးဆင်းပုံအမျိုးအစားပေါ်ကို လိုက်၍ ဖော်ပြခြင်း (ဥပမာ - တရားဝင်ဖွံ့ဖြိုးတိုးတက်မှု အထောက်အပံ့၊ နိုင်ငံခြားတိုက်ရိုက်ရင်းနှီးမြှုပ်နှံမှု နှင့် အခြား စီးဆင်းမှုပုံစံများ),"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
205,အမိနိုင်ငံသို့ ပြန်လည်ပေးပို့သော ငွေပမာဏအတွက် ငွေလွှဲခ,Remittance costs as a proportion of the amount remitted
206,ဆင်းရဲသားရပ်ကွက်များ၊ တရားမဝင်နေထိုင်မှုများနှင့် မလုံလောက်သော အိမ်ရာထိုင်ခင်းတို့ဖြင့် နေထိုင်နေရသော မြို့ပြနေလူဦးရေ အချိုးအစား,"Proportion of urban population living in slums, informal settlements or inadequate housing"
207,အများသုံး ပို့ဆောင်ဆက်သွယ်ရေး ဝန်ဆောင်မှုများကို သက်တောင့်သက်သာ အသုံးပြုနိုင်သော လူဦးရေအချိုးအစားကို  ကျား/မ ၊ အသက် နှင့် မသန်စွမ်းသောသူများ စသည်တို့ပေါ်မူတည်၍ ဖော်ပြခြင်း,"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities"
208,မြေအသုံးပြုမှုနှင့် လူဦးရေတိုးတက်လာမှု အချိုး,Ratio of land consumption rate to population growth rate
209,ဒီမိုကရေစီနည်းလမ်းတကျ ပုံမှန်လည်ပတ်နေသော မြို့ပြစီမံကိန်းနှင့် စီမံခန့်ခွဲရေးလုပ်ငန်းများတွင် အရပ်ဖက်အသိုင်းအဝန်းမှ တိုက်ရိုက်ပါဝင်နိုင်သော စနစ်ကို အကောင်အထည်ဖော်ထားသော မြို့များ၏ အချိုးအစား,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically
210,ယဉ်ကျေးမှုနှင့် သဘာဝအမွေအနှစ်အားလုံးကို ကာကွယ်ထိန်းသိမ်းခြင်းအပေါ်တွင် လူတစ်ဦးချင်းစီ၏ (အစိုးရနှင့် ပုဂ္ဂလိက) စုစုပေါင်း အသုံးစရိတ်ကို အမွေအနှစ်အမျိုးအစား (ယဉ်ကျေးမှု၊ သဘာဝ၊ အရောအမျိုးအစား၊ နှင့် ကမ္ဘာ့အမွေနှစ်ဗဟိုဌာနမှ သတ်မှတ်ထားသော အမွေနှစ်များ)၊ အစိုးရ၏ အဆင့် (နိုင်ငံတော်အဆင့်၊ တိုင်းဒေသကြီးအဆင့်၊ ဒေသခံနှင့် စည်ပင်အဆင့်)၊ အသုံးစရိတ်အမျိုးအစား (လုပ်ငန်းဆောင်ရွက်မှုကုန်ကျစရိတ်နှင့် ရင်းနှီးမြှုပ်နှံမှု)၊ နှင့် ပုဂ္ဂလိကငွေကြေးမတည်ခြင်း အမျိုးအစားများ (အလှူငွေ၊ ပုဂ္ဂလိက အမြတ်မယူသော ငွေကြေးမတည်မှုများ၊ ပံ့ပိုးငွေများ) စသည်တို့ပေါ်မူတည်၍ ခွဲခြားဖော်ပြခြင်း,"Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)"
211,လူဦးရေတစ်သိန်းလျှင် ဘေးအန္တရာယ်များကြောင့် သေဆုံး၊ ပျောက်ဆုံး နှင့် တိုက်ရိုက်သက်ရောက်မှု ဒဏ်ခံရသော လူဦးရေအရေအတွက်,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
212,ဘေးအန္တရာယ်များကြောင့် ပျက်ဆီးဆုံးရှုံးခဲ့ရသော အခြေခံအဆောက်အအုံများ နှင့် အခြေခံဝန်ဆောင်မှုများ ကမောက်ကမဖြစ်ခြင်းကြောင့် တိုက်ရိုက်စီးပွားရေးဆုံးရှုံးမှုများကို ကမ္ဘာ့ GDP နှင့် နှိုင်းယှဉ်ဖော်ပြခြင်း,"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"
213,မြို့ကြီးများတွင် ပုံမှန်သိမ်းဆည်းပေး‌နေသော အစိုင်အခဲစွန့်ပစ်ပစ္စည်းများ နှင့် နောက်ဆုံးစွန့်ပစ်မှုပြုလုပ်ရန် လုံလောက်မှု အချိုးအစားကို  မြို့ကြီးများမှ စုစုပေါင်းထွက်ရှိသော အစိုင်အခဲ စွန့်ပစ်ပစ္စည်းပေါ်  မူတည်၍ ဖော်ပြခြင်း,"Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities"
214,မြို့ကြီးများ၏ လေထဲ၌ ရှိနေသော အန္တရာယ်ရှိသည့်အရည်နှင့် အစိုင်အခဲ အမှုန်အမွှားများ (ဥပမာ PM2.5 နှင့် PM10) နှစ်စဉ်တိုင်းတာရရှိမှု ၏  (လူဦးရေနှင့် အချိုးချပြီး) ပျမ်းမျှပမာဏ။,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)
215,လွန်ခဲ့သော ၁၂လအတွင်း ရုပ်ပိုင်းဆိုင်ရာနှင့် လိင်ပိုင်းဆိုင်ရာ နှောင့်ယှက်ခံရသူများ၏ အချိုးအစားကို ကျား/မ ၊ အသက် နှင့် မသန်စွမ်းမှုအဆင့်နှင့်် ဖြစ်ပွားရာနေရာ စသည်တို့ပေါ်မူတည်၍ ဖော်ပြခြင်း,"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
216,အနာဂတ်လူဦး‌ရေအလားအလာနှင့် လိုအပ်သော အရင်းအမြစ် စသည်တို့ပါဝင်သော မြို့ပြနှင့် ဒေသဆိုင်ရာ ဖွံ့ဖြိုးတိုးတက်မှု အစီအစဉ်များကို ချမှတ်အကောင်အထည်ဖော်နေသော မြို့ကြီးများတွင်နေထိုင်သော လူဦးရေအချိုးအစားကို မြို့ကြီး၏အရွယ်အစားပေါ်လိုက်၍ ဖော်ပြခြင်း,"Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city"
217,ဘေးအန္တရာယ်ကြောင့် ထိခိုက်ဆုံးရှုံးနိုင်ခြေလျှော့ချရေးအတွက် ဆန်ဒိုင်းမူဘောင် ၂၀၁၅-၂၀၃၀ နှင့်အညီ အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် မဟာဗျူဟာများကို လက်ခံကျင့်သုံးပြီး အကောင်အထည်ဖော်သော နိုင်ငံအရေအတွက်,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030
218,ဘေးအန္တရာယ်ကြောင့် ထိခိုက်ဆုံးရှုံးနိုင်ခြေလျှော့ချရေးအတွက် အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် မဟာဗျူဟာများနှင့်အညီ ဒေသအဆင့် မဟာဗျူဟာများကို လက်ခံကျင့်သုံးနေသော ဒေသန္တရ အစိုးရများ၏ အချိုးအစား,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
219,ဒေသထွက်ပစ္စည်းများကို အသုံးပြုပြီး ရေရှည်တည်တံ့ခိုင်မြဲကာ ကြံ့ကြံ့ခံနိုင်သော သယံဇာတများကို အကျိုးရှိစွာ အသုံးပြုသည့် အဆောက်အဦများ ဆောက်လုပ်ရေးနှင့် ပြုပြင်မွမ်းမံရန်အတွက် ဖွံ့ဖြိုးမှု နိမ့်ပါးသော နိုင်ငံများအား ခွဲဝေပေးသည့် မတည်ငွေ အချိုးအစား။,"Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials"
220,ရေရှည်တည်တံ့ခိုင်မြဲသော စားသုံးမှုနှင့် ထုတ်လုပ်မှု အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် စီမံချက်များရှိသောနိုင်ငံအရေအတွက် (သို့မဟုတ်) အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် မူဝါဒများချမှတ်ရာတွင် ရေရှည်တည်တံ့ခိုင်မြဲသော စားသုံးမှုနှင့် ထုတ်လုပ်မှုကို ဦးစားပေးကဏ္ဍအဖြစ် သတ်မှတ်ထားသော နိုင်ငံအရေအတွက်,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies
221,ပစ္စည်းခြေရာ၊ လူတစ်ဦးချင်းစီ၏ ပစ္စည်းခြေရာ၊ ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ပေါ်တွင်အခြေခံသော ပစ္စည်းခြေရာ,"Material footprint, material footprint per capita, and material footprint per GDP"
222,ပြည်တွင်း ပစ္စည်းသုံးစွဲမှု၊ လူတစ်ဦးချင်းစီ၏ ပြည်တွင်းပစ္စည်းသုံးစွဲမှု၊ ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ပေါ်တွင်အခြေခံသော ပြည်တွင်းပစ္စည်းသုံးစွဲမှု,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
223,ကမ္ဘာ့အစားအသောက်ဆုံးရှုံးမှု ညွှန်းကိန်း,Global food loss index
224,နိုင်ငံတကာနှင့် ဘက်ပေါင်းစုံသဘောတူညီမှုလိုအပ်ချက်များအရ အန္တရာယ်ရှိသော စွန့်ပစ်ပစ္စည်းနှင့် အခြားဓာတုပစ္စည်းများကို ကိုင်တွယ်ဖြေရှင်းရာတွင် သတင်းအချက်အလက်များကို မျှဝေရာ၌ ဤပေးထားသောကတိကဝတ်များနှင့် တာဝန်များကို လိုက်နာလက်ခံဆောင်ရွက်သော အဖွဲ့အစည်း အရေအတွက်။,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"
225,လူတစ်ဦးချင်းစီထုတ်လုပ်သော အန္တရာယ်ရှိသည့်စွန့်ပစ်ပစ္စည်းပမာဏ နှင့် ပြန်လည်သန့်စင်ထားသော စွန့်ပစ်ပစ္စည်း အချိုးအစားကို ပြန်လည်သန့်စင်မှု အမျိုးအစားပေါ် အခြေခံ၍ ‌ဖော်ပြခြင်း,"Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment"
226,အမျိုးသားအဆင့်/ နိုင်ငံတော်အဆင့်/ တစ်နိုင်ငံလုံး၏ စွန့်ပစ်ပစ္စည်း ပြန်လည်သုံးစွဲမှုနှုန်း၊ ပြန်လည်သုံးစွဲနိုင်ရန်ပြုလုပ်သော ပစ္စည်းများတန်ချိန်,"National recycling rate, tons of material recycled"
227,အစီရင်ခံစာများကို ထုတ်ပြန်သော ကုမ္ပဏီများ,Number of companies publishing sustainability reports
228,ရေရှည်တည်တံ့ခိုင်မြဲသော ပြည်သူပိုင်လုပ်ငန်းများအတွက် ပစ္စည်းဝယ်ယူရေး မူဝါဒများနှင့် စီမံချက်များကို  အကောင်အထည်ဖော်နေသော နိုင်ငံ အရေအတွက်,Number of countries implementing sustainable public procurement policies and action plans
229,(၁) ကမ္ဘာ့နိုင်ငံသားပညာရေး နှင့် (၂) ကျား၊မ တန်းတူညီမျှမှုနှင့် လူ့အခွင့်အရေးတို့ပါဝင်သော စဉ်ဆက်မပြတ် ဖွံ့ဖြိုးတိုးတက်မှုအကြောင်းများပါဝင်သောပညာရေးကို (‌က)အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် ပညာရေးမူဝါဒများ (ခ) သင်ရိုးများ (ဂ) ဆရာအတတ်သင်ပညာရေးနှင့် (ဃ) တတ်ကျွမ်းမှုစစ်ဆေးခြင်းများတွင် ထည့်သွင်းအသုံးပြုသောအခြေအနေ အတိုင်းအဆ,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
230,ဖွံ့ဖြိုးဆဲနိုင်ငံများအနေဖြင့် ရေရှည်တည်တံ့ခိုင်မြဲသော စားသုံးမှုပုံစံ၊ ထုတ်လုပ်မှုပုံစံ နှင့် သဘာဝပတ်ဝန်းကျင်နှင့် လိုက်လျောညီထွေမှုရှိသည့် နည်းပညာများအတွက် သုတေသနနှင့် ဖွံ့ဖြိုးတိုးတက်မှုလုပ်ငန်းများလုပ်ဆောင်ရန် ကူညီထောက်ပံ့ပေးမှု ပမာဏ,Amount of support to developing countries on research and development for sustainable consumption and production and environmentally sound technologies
231,ရေရှည်တည်တံ့ခိုင်မြဲသော ခရီးသွားလုပ်ငန်းအတွက် နည်းဗျူဟာများ၊ မူဝါဒများ၊ စောင့်ကြပ်ထိန်းသိမ်းမှုများပါဝင်သော အကောင်အထည်ဖော်ပြီး စီမံချက်များ အရေအတွက်,Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools
232,ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) - ထုတ်လုပ်မှုနှင့် စားသုံးမှု တစ်ယူနစ်လျှင် ဖြေလျှော့ပေးသော ရှေးရုပ်ကြွင်းလောင်စာဆီပမာဏနှင့် ထိုပမာဏအချိုးအစားကို ရှေးရုပ်ကြွင်းလောင်စာဆီအတွက် နိုင်ငံ၏ ကုန်ကျစရိတ်စုစုပေါင်းပေါ် အခြေခံ၍ ဖော်ပြခြင်း,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels
233,လူဦးရေတစ်သိန်းလျှင် ဘေးအန္တရာယ်များကြောင့် သေဆုံး၊ ပျောက်ဆုံး နှင့် တိုက်ရိုက်သက်ရောက်မှု ဒဏ်ခံရသော လူဦးရေအရေအတွက်,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
234,၂၀၁၅-၂၀၃၀  သဘာဝဘေးအန္တရာယ်လျှော့ချရေး ဆန်ဒိုင်းမူဘောင်အရ အမျိုးသားသဘာဝဘေးအန္တရာယ်လျှော့ချရေးနည်းဗျူဟာများကို ရေးဆွဲအကောင်အထည်ဖော်နေသော နိုင်ငံအရေအတွက်,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030
235,အမျိုးသားသဘာဝဘေးအန္တရာယ်လျှော့ချရေးနည်းဗျူဟာများကို အခြေခံ၍ ဒေသဆိုင်ရာ သဘာဝဘေးအန္တရာယ်လျှော့ချရေးနည်းဗျူဟာများကို ရေးဆွဲအကောင်အထည်ဖော်နေသော ‌ဒေသအစိုးရများ၏ အချိုးအစား,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
236,ရာသီဥတုပြောင်းလဲမှု၏ ဆိုးကျိုးများ အသားကျခံနိုင်ရည်ရှိရန်နှင့် အစားအစာထုတ်လုပ်ခြင်းကို မထိခိုက်စေဘဲ ရာသီဥတုဒဏ်ကိုခံနိုင်ပြီး ဖန်လုံအိမ်ဓာတ်ငွေ့များထုတ်လွှင့်ခြင်းကို လျော့ကျစေမှုများပါဝင်သည့် (မူဝါဒ၊ နည်းဗျူဟာ၊ အစီအစဉ်) များကို ရေးဆွဲအကောင်အထည်ဖော်သည့် နိုင်ငံအရေအတွက်(အမျိုးသားအဆင့်/နိုင်ငံလုံးဆိုင်ရာ နေသားကျရန်လုပ်ဆောင်ခြင်းအစီအစဉ်၊ တစ်နိုင်ငံလုံး သဘောတူသတ်မှတ်ထားသော ပူးပေါင်းပါဝင်ခြင်း၊ အမျိုးသားအဆင့်/ နိုင်ငံတော်အဆင့် ပြန်ကြားဆက်သွယ်ရေး၊ နှစ်နှစ်တစ်ခါ တင်ပြသော အစီရင်ခံ နှင့် အခြားအစီအစဉ်များ),"Number of countries that have communicated the establishment or operationalization of an integrated policy/strategy/plan/ which increases their ability to adapt to the adverse impacts of climate change, and/ foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production/ (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)"
237,မကောင်းသည့်အကျိုးဆက်များအား လျှော့ချခြင်း၊ အသားကျခံနိုင်ရည်ရှိခြင်း၊ ၎င်း၏သက်ရောက်မှုကိုလျော့နည်းစေခြင်းနှင့် ကြိုတင်သတိပေးခြင်းလုပ်ငန်းစဉ်များကို မူလတန်း၊ အလယ်တန်းနှင့် အထက်တန်းသင်ရိုးများတွင် ထည့်သွင်းသင်ကြားသော နိုင်ငံအရေအတွက်,"Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula "
238,မကောင်းသည့်အကျိုးဆက်များအား အသားကျခံနိုင်ရည်ရှိခြင်း၊ လျှော့ချခြင်းနှင့် နည်းပညာလက်ဆင့်ကမ်းခြင်း၊ ဖွံ့ဖြိုးရေးလုပ်ဆောင်မှုများ စသည်တို့ကို အကောင်အထည်ဖော်ရန် အဖွဲ့အစည်းဆိုင်ရာ၊ စနစ်ဆိုင်ရာ၊ လူတစ်ဦးချင်းစီဆိုင်ရာ စွမ်းရည်မြှင့်တင်ခြင်းကို ဆောင်ရွက်သည့် နိုင်ငံအရေအတွက်=,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions"
239,"ဒေါ်လာ သန်း(၁၀၀) ပေးအပ်မည်ဟု ကတိကဝတ်ထားသော မတည်ငွေများထဲမှ ၂၀၂၀ နှင့် ၂၀၂၅ခုနှစ် ကြားတွင် တစ်နှစ်စီအသုံးပြုမည့် အမေရိကန်ဒေါ်လာပမာဏ။  ",Mobilized amount of United States dollars per year between 2020 and 2025 accountable towards the $100 billion commitment
240,အမျိုးသမီးများ၊ လူငယ်နှင့် ဒေသခံလူနည်းစုများကို အဓိကထားပြီး ရာသီဥတုပြောင်းလဲခြင်းကို ကောင်းမွန်စွာစီမံခန့်ခွဲရန်အတွက် ငွေကြေး၊ နည်းပညာ၊ စွမ်းရည်မြှင့်တင်ခြင်းစသည်တို့ပါဝင်သော ကူညီထောက်ပံ့မှုပမာဏနှင့် ထိုအထူးအကူအညီများ ရရှိသော ဖွံ့ဖြိုးမှုနိမ့်ပါးသည့် နိုင်ငံများနှင့် ဖွံ့ဖြိုးဆဲ ကျွန်းငယ်နိုင်ငံများ အရေအတွက်။,"Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity-building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth and local and marginalized communities"
241,ကမ်းရိုးတန်းတွင် ရေညှိဖြစ်ပေါ်ခြင်းနှင့် မျောပါလာသော ပလတ်စတစ်အမှိုက်များ၏ သိပ်သည်းမှုတို့ကို ပြသောညွှန်းကိန်း။,"Index of coastal eutrophication and floating plastic debris density "
242,‌‌ဂေဟစနစ်အခြေပြု နည်းလမ်းများကို အသုံးပြု၍ စီမံခန့်ခွဲမှုများ ပြုလုပ်နေသော နိုင်ငံ၏ အထူးစီးပွားရေးဇုန်များ အချိုးအစား,Proportion of national exclusive economic zones managed using ecosystem-based approaches
243,တရားဝင်နမူနာယူထား‌သော ဌာနများ၏ သတ်မှတ်ချက်အရ တိုင်းတာထားသော ပင်လယ်ရေထု၏ ပျမ်းမျှ အက်ဆစ်ဓာတ် (ပီအိတ်ချ်),Average marine acidity (pH) measured at agreed suite of representative sampling stations
244,သတ္တဗေဒဆိုင်ရာရေရှည်တည်တံ့နိုင်မှုသတ်မှတ်ချက်ထဲတွင်ဝင်သော ငါးကောင်ရေ အချိုးအစား,Proportion of fish stocks within biologically sustainable levels
245,ကာကွယ်စောင်ရှောက်ထားသော ဧရိယာဖုံးလွှမ်းမှုကို ဧရိယာပေါ်လိုက်၍ ဖော်ပြခြင်း,Coverage of protected areas in relation to marine areas
246,တရားမဝင်သော၊ ခွင့်မပြုသော၊ စည်းစနစ်မကျသော ငါးဖမ်းလုပ်ငန်းကို တိုက်ဖျက်ရန် ရည်ရွယ်သည့် နိုင်ငံတကာပူးပေါင်းဆောင်ရွက်မှုများ အကောင်အထည်ဖော်ခြင်း၏ တိုးတက်မှုပမာဏ။,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
